,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S01000025,865,3,7,5,12,10,6,11,18,13,8,18,9,19,19,15,17,18,14,10,8,17,11,15,3,9,10,8,4,1,3,2,5,6,5,6,5,3,11,7,5,12,13,17,13,16,15,13,9,19,19,21,14,16,19,18,20,21,12,11,18,7,9,12,11,18,6,8,9,12,9,4,8,2,3,5,5,4,6,4,1,1,6,2,2,2,3,3,2,0,0,1,1,0,2,2,1,1,1,0,0,0
S01000026,849,8,13,15,6,12,4,5,9,12,8,8,8,9,12,8,8,9,7,12,8,14,7,8,9,11,22,2,17,14,16,10,12,15,7,11,8,6,7,12,12,11,14,7,12,13,10,15,13,15,12,17,10,11,13,7,14,11,4,8,9,10,16,11,16,9,6,10,6,16,5,3,7,6,10,12,7,11,6,10,11,8,4,2,5,0,4,2,5,0,2,0,0,0,0,0,1,0,0,1,0,0
S01000027,798,8,10,2,4,12,9,10,9,5,7,8,12,11,11,19,11,11,9,3,13,8,7,4,9,5,5,4,4,5,5,4,6,3,5,4,5,8,7,11,14,14,14,16,9,19,7,12,12,11,14,14,16,16,7,9,15,8,11,11,9,18,9,7,16,11,11,12,11,16,8,12,7,7,10,8,8,13,5,8,12,9,4,6,6,2,3,2,0,1,2,0,1,1,0,0,0,1,0,0,0,0
S01000028,919,7,17,4,17,8,6,5,12,16,8,4,8,12,7,7,9,11,15,15,10,6,15,6,12,11,13,15,14,17,18,15,10,11,10,13,12,6,11,15,8,11,11,15,14,11,11,12,14,14,16,15,18,15,17,17,12,11,14,6,6,8,5,8,12,7,8,4,3,8,5,7,9,7,9,5,14,10,10,9,15,12,7,5,6,4,8,4,1,2,3,3,3,0,0,0,0,0,1,0,0,1
S01000029,729,1,15,6,17,13,12,23,7,10,16,14,18,17,20,13,22,18,14,10,6,7,6,7,4,6,3,5,3,0,0,0,1,1,2,4,3,12,10,16,11,7,21,11,17,21,13,17,22,10,21,25,17,15,13,5,11,9,11,8,13,6,6,7,4,9,3,4,2,7,2,5,2,1,0,3,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000030,449,3,5,6,7,3,3,2,3,7,5,7,3,2,3,1,3,4,3,6,9,9,9,5,5,5,9,9,2,10,6,6,3,6,4,4,3,4,4,4,6,4,9,5,5,9,2,8,6,8,6,9,12,5,6,10,5,7,5,2,6,7,2,5,3,4,1,3,1,2,4,8,3,8,8,5,9,3,10,7,6,5,3,2,1,4,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0
S01000031,941,9,14,8,8,11,13,7,10,7,13,8,15,8,17,14,13,16,10,7,1,6,10,8,8,14,10,9,11,7,8,6,4,9,5,15,11,16,12,13,12,7,13,8,15,17,14,12,15,14,19,16,17,14,18,17,17,11,8,13,11,6,16,10,11,16,15,6,8,9,9,5,9,11,12,8,7,10,11,5,5,9,5,14,6,6,9,6,4,2,4,2,1,1,2,0,1,0,0,0,0,1
S01000032,1063,15,7,10,13,13,8,11,10,5,6,15,12,7,10,17,18,11,9,15,11,13,7,13,15,14,8,16,10,11,15,13,15,5,18,17,9,5,14,8,11,15,15,12,13,20,22,15,21,15,15,21,13,16,15,19,18,11,13,6,7,17,9,20,18,25,9,3,7,10,13,11,14,9,10,12,19,12,9,15,10,9,14,7,2,5,3,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0
S01000033,802,16,13,14,9,10,9,6,6,5,7,6,10,5,12,7,9,2,9,8,8,4,7,14,12,15,20,14,20,12,17,12,11,12,10,8,11,4,18,8,6,8,8,10,8,8,9,9,11,12,14,14,21,10,8,11,6,3,6,3,5,9,5,3,6,10,8,7,6,7,4,7,9,6,8,7,13,8,10,11,8,8,1,5,3,8,8,5,3,6,5,4,0,3,0,0,1,0,0,0,0,0
S01000034,1238,22,20,17,18,17,20,17,18,23,9,17,14,14,18,18,25,14,22,15,11,6,12,10,10,8,6,9,4,6,10,11,7,17,18,14,18,16,10,23,24,18,21,22,20,27,21,26,25,27,18,26,24,16,26,13,14,27,19,16,21,14,19,20,13,12,9,8,13,9,8,5,10,8,8,13,3,3,3,6,7,4,6,5,2,5,2,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0
