msoaiz,Total weekly income (£)
E02005193,780
E02005194,630
E02005195,650
E02005196,690
E02005197,540
E02005198,590
E02005199,770
E02005200,630
E02005201,610
E02005202,710
E02005203,750
E02005204,690
E02005205,740
E02005206,590
E02005207,670
E02005208,540
E02005209,640
E02005210,660
E02005211,680
E02005212,570
E02005213,640
E02005214,620
E02005215,520
E02005216,550
E02005217,470
E02005218,570
E02005219,620
E02005220,650
E02005221,620
E02005222,780
E02005223,690
E02005224,520
E02005225,740
E02005226,420
E02005228,520
E02005229,440
E02005230,510
E02005231,530
E02005233,640
E02005234,560
E02005235,640
E02005236,590
E02005237,700
E02005238,630
E02005239,660
E02006871,590
E02005240,570
E02005241,570
E02005242,630
E02005243,450
E02005244,550
E02005245,730
E02005246,490
E02005247,750
E02005248,410
E02005249,420
E02005250,500
E02005251,600
E02005252,590
E02005253,810
E02005254,900
E02005255,750
E02005256,800
E02005257,500
E02005258,720
E02005259,550
E02005260,650
E02005261,490
E02005262,840
E02005263,470
E02005264,520
E02005265,570
E02005266,420
E02005267,390
E02005268,480
E02005269,450
E02005270,780
E02005271,720
E02005272,570
E02005273,760
E02005274,790
E02005275,670
E02005276,830
E02005277,840
E02005278,760
E02005279,590
E02005280,570
E02005281,630
E02005284,750
E02005285,740
E02005286,620
E02006884,570
E02005287,840
E02005288,710
E02005289,790
E02005290,780
E02005291,710
E02005292,580
E02005293,570
E02005294,640
E02005295,690
E02005296,760
E02005297,740
E02005298,690
E02005299,620
E02005300,750
E02005301,590
E02005302,790
E02005303,570
E02005304,720
E02005305,660
E02005306,690
E02005307,690
E02005308,840
E02005309,710
E02005310,600
E02005311,760
E02005312,660
E02005313,500
E02005314,550
E02005315,800
E02005316,580
E02005317,480
E02005318,700
E02005319,470
E02005320,560
E02005321,550
E02005322,580
E02005323,590
E02005324,750
E02005325,630
E02005326,520
E02005327,750
E02005328,640
E02005329,580
E02005330,710
E02005331,680
E02005332,700
E02001327,490
E02001328,660
E02001329,430
E02001330,550
E02001331,540
E02001332,500
E02001333,520
E02001334,450
E02001335,680
E02001336,480
E02001337,620
E02001338,540
E02001339,560
E02001340,680
E02001341,530
E02001342,690
E02001343,760
E02001344,560
E02001345,700
E02001346,530
E02001347,590
E02001348,580
E02001349,590
E02001350,490
E02001351,470
E02001352,460
E02001353,730
E02001354,520
E02001355,480
E02001356,490
E02001357,500
E02001358,440
E02001359,690
E02001360,440
E02001361,510
E02001362,570
E02001363,490
E02001364,420
E02001365,470
E02001366,500
E02001367,720
E02001368,450
E02001369,480
E02001370,440
E02001371,500
E02001372,580
E02001373,530
E02001374,440
E02001375,520
E02001376,450
E02001377,410
E02001378,550
E02001380,740
E02001381,510
E02001382,800
E02001383,390
E02001384,540
E02001385,380
E02001386,480
E02001387,900
E02001388,610
E02001389,460
E02001390,440
E02001391,540
E02001392,740
E02001393,920
E02001394,570
E02001395,780
E02001396,560
E02001397,610
E02001398,640
E02001399,800
E02001400,600
E02001401,670
E02001402,790
E02001403,530
E02001404,500
E02001405,460
E02006932,530
E02006933,580
E02006934,730
E02001429,590
E02001430,680
E02001431,540
E02001432,430
E02001433,620
E02001434,640
E02001435,570
E02001436,630
E02001437,650
E02001438,680
E02001439,580
E02001440,790
E02001441,900
E02001442,740
E02001443,830
E02001444,730
E02001445,720
E02001446,700
E02001447,680
E02001448,720
E02001449,710
E02001450,820
E02001451,490
E02001452,470
E02001453,750
E02001454,650
E02001455,670
E02001456,670
E02001457,490
E02001458,680
E02001459,590
E02001460,490
E02001461,640
E02001462,450
E02001463,520
E02001464,460
E02001465,430
E02001466,540
E02001406,730
E02001407,720
E02001408,730
E02001409,590
E02001410,580
E02001411,630
E02001412,700
E02001413,630
E02001414,850
E02001415,610
E02001416,480
E02001417,480
E02001418,520
E02001419,450
E02001420,630
E02001421,610
E02001422,490
E02001423,760
E02001424,590
E02001425,600
E02001426,670
E02001427,620
E02001428,790
E02001467,560
E02001468,560
E02001469,680
E02001470,730
E02001471,500
E02001472,650
E02001473,570
E02001474,440
E02001475,480
E02001476,490
E02001477,450
E02001478,550
E02001479,810
E02001480,720
E02001481,670
E02001482,380
E02001483,680
E02001484,660
E02001485,590
E02001486,620
E02001487,450
E02001488,600
E02001489,740
E02001490,740
E02001491,500
E02001492,700
E02001493,450
E02001494,900
E02001495,580
E02001496,720
E02001497,540
E02001498,750
E02001499,730
E02001500,730
E02001501,720
E02001502,620
E02001503,710
E02001504,850
E02001505,620
E02001506,950
E02001507,780
E02001508,640
E02002684,570
E02002685,570
E02002686,470
E02002687,500
E02002688,490
E02002689,700
E02002691,750
E02002692,820
E02002693,760
E02002694,730
E02002695,610
E02002696,920
E02002697,840
E02002698,730
E02002699,940
E02002700,550
E02002701,890
E02002702,710
E02002703,980
E02002704,720
E02002705,820
E02002706,760
E02002707,890
E02002708,620
E02002709,710
E02002710,800
E02002711,930
E02002712,680
E02002714,700
E02002715,990
E02002716,720
E02002717,600
E02002718,1070
E02002719,820
E02002720,770
E02002721,650
E02002722,560
E02002723,530
E02002724,460
E02002725,710
E02006814,680
E02006891,750
E02006892,570
E02002652,640
E02002653,460
E02002654,400
E02002655,480
E02002656,650
E02002657,640
E02002658,630
E02002659,450
E02002660,480
E02002661,480
E02002662,460
E02002663,660
E02002664,750
E02002665,750
E02002666,440
E02002667,540
E02002668,410
E02002669,700
E02002670,490
E02002671,510
E02002672,410
E02002673,500
E02002674,570
E02002675,380
E02002676,600
E02002677,530
E02002678,530
E02002679,590
E02002680,400
E02002681,380
E02002682,470
E02006813,490
E02002726,540
E02002727,300
E02002728,420
E02002729,590
E02002730,470
E02002731,440
E02002732,760
E02002733,520
E02002734,520
E02002735,520
E02002736,470
E02002737,590
E02002738,620
E02002739,510
E02002740,470
E02002741,680
E02002742,690
E02002743,490
E02002744,410
E02002745,650
E02002746,640
E02002747,700
E02002748,720
E02002749,620
E02002750,720
E02002751,680
E02002752,630
E02002753,610
E02002754,650
E02002755,510
E02002756,470
E02002757,710
E02002758,500
E02002759,660
E02002760,660
E02002761,650
E02002762,490
E02002763,480
E02002764,520
E02002765,500
E02002766,680
E02002767,720
E02002768,800
E02002769,770
E02002770,740
E02002771,780
E02002772,950
E02002773,760
E02002774,820
E02002775,640
E02002776,670
E02002777,880
E02002778,840
E02002779,760
E02002780,560
E02002781,610
E02002782,980
E02002783,700
E02002784,620
E02002785,690
E02002786,580
E02002787,650
E02002788,900
E02002789,520
E02002790,720
E02002791,970
E02002792,990
E02002793,700
E02002794,630
E02002795,970
E02005742,720
E02005743,800
E02005744,730
E02005745,970
E02005746,670
E02005747,590
E02005748,870
E02005749,710
E02005750,800
E02005751,980
E02005752,830
E02005753,620
E02005754,820
E02005755,700
E02005756,1020
E02005757,720
E02005758,760
E02005759,780
E02005760,1010
E02005761,830
E02005762,840
E02005763,900
E02005764,630
E02005765,780
E02005766,850
E02005767,1050
E02005768,1040
E02005769,650
E02005770,710
E02005771,740
E02005772,970
E02005773,600
E02005774,680
E02005775,790
E02005776,920
E02005777,920
E02005778,1070
E02005779,980
E02005780,1070
E02005781,1120
E02005782,870
E02005783,720
E02005784,790
E02005785,850
E02005786,730
E02005787,740
E02005788,700
E02005789,620
E02005790,720
E02005791,700
E02005794,830
E02006870,590
E02005795,500
E02005796,680
E02005797,560
E02005798,670
E02005799,700
E02005800,480
E02005801,510
E02005802,590
E02005803,580
E02005804,480
E02005805,610
E02005806,540
E02005807,760
E02005808,560
E02005809,720
E02005810,1030
E02005811,830
E02005812,790
E02005813,510
E02005814,620
E02005815,810
E02005816,800
E02005817,810
E02005818,780
E02001509,600
E02001510,590
E02001511,610
E02001512,620
E02001513,720
E02001514,570
E02001515,470
E02001516,560
E02001517,620
E02001518,620
E02001519,540
E02001520,720
E02001521,530
E02001522,550
E02001523,610
E02001524,950
E02001525,440
E02001526,510
E02001527,660
E02001528,610
E02001529,540
E02001530,570
E02001531,540
E02001532,740
E02001533,610
E02001534,600
E02001535,880
E02001536,640
E02001537,620
E02001538,580
E02001539,530
E02001540,600
E02001541,520
E02001542,540
E02001543,540
E02001544,600
E02001545,720
E02001546,590
E02001547,550
E02001548,460
E02001549,680
E02001550,560
E02001551,540
E02001552,600
E02001553,540
E02001554,700
E02001555,660
E02001556,530
E02001557,600
E02001558,760
E02001559,830
E02001560,440
E02001561,440
E02001562,530
E02001563,770
E02001564,820
E02001565,950
E02001566,590
E02001567,550
E02001568,590
E02001569,520
E02001570,530
E02001571,720
E02001572,520
E02001573,590
E02001574,720
E02001575,480
E02001576,840
E02001577,830
E02001578,600
E02001579,610
E02001580,620
E02001581,640
E02001582,570
E02001583,560
E02001584,810
E02001585,510
E02001586,490
E02001587,510
E02001588,500
E02001589,810
E02001590,480
E02001591,490
E02001592,630
E02001593,480
E02001594,460
E02001595,700
E02001596,640
E02001597,510
E02001598,650
E02001599,820
E02001600,800
E02001601,700
E02001602,630
E02001603,600
E02001604,680
E02001605,760
E02001606,610
E02001607,630
E02001608,730
E02001609,750
E02001610,770
E02001611,600
E02001612,770
E02001613,640
E02001614,680
E02001615,790
E02001616,550
E02001617,490
E02001618,880
E02001619,480
E02001620,490
E02001621,500
E02001622,490
E02001623,450
E02001624,580
E02001625,470
E02001626,770
E02001627,670
E02001628,470
E02001629,460
E02001630,570
E02001631,680
E02001632,460
E02001633,780
E02001634,780
E02001635,550
E02001636,450
E02001637,480
E02001638,790
E02001639,830
E02001640,650
E02001642,570
E02001643,1010
E02001646,810
E02001647,540
E02001648,910
E02001649,450
E02001650,490
E02001651,1320
E02001652,560
E02001653,490
E02001654,590
E02001655,500
E02001656,1030
E02001657,1250
E02001658,410
E02001659,470
E02001660,910
E02001661,520
E02001662,500
E02001663,820
E02001664,660
E02001665,1230
E02001666,570
E02001669,760
E02001670,430
E02001671,660
E02001672,570
E02001673,840
E02001674,730
E02001675,560
E02001676,940
E02001678,1040
E02001679,510
E02001680,390
E02001681,940
E02006803,810
E02006843,610
E02006844,470
E02006868,530
E02006869,530
E02002183,1000
E02002184,980
E02002185,1040
E02002186,700
E02002187,1170
E02002188,840
E02002189,680
E02002190,530
E02002191,490
E02002192,940
E02002193,450
E02002194,600
E02002195,880
E02002196,760
E02002197,720
E02002198,720
E02002199,850
E02002200,840
E02002201,700
E02002202,690
E02002203,550
E02002204,820
E02002205,760
E02002206,640
E02002207,660
E02002208,610
E02002209,510
E02002210,660
E02002211,690
E02002212,640
E02002213,720
E02002214,670
E02002215,570
E02002216,450
E02002217,500
E02002218,640
E02002219,530
E02002220,520
E02002221,380
E02002222,580
E02002223,530
E02002224,480
E02002225,700
E02002226,480
E02002227,450
E02002228,490
E02002229,660
E02002230,430
E02002231,650
E02002232,500
E02002233,490
E02002234,420
E02002235,490
E02002236,600
E02002237,620
E02002238,500
E02002239,640
E02002240,720
E02002241,560
E02002242,620
E02002243,610
E02002244,720
E02002245,490
E02002246,830
E02002247,960
E02002248,550
E02002249,520
E02002250,780
E02002251,500
E02002252,690
E02002253,560
E02002254,870
E02002255,420
E02002256,630
E02002257,510
E02002258,750
E02002259,780
E02002260,610
E02002261,650
E02002262,650
E02002263,690
E02002264,910
E02002265,680
E02002266,780
E02002267,670
E02002268,590
E02002269,810
E02002270,1040
E02002271,800
E02002272,640
E02002273,740
E02002274,810
E02002275,620
E02002276,670
E02002277,670
E02002278,660
E02002279,580
E02002280,470
E02002281,600
E02002282,590
E02002283,540
E02002284,650
E02002285,750
E02002286,600
E02002287,550
E02002288,570
E02002289,540
E02002290,790
E02002291,760
E02002292,810
E02002293,470
E02002294,570
E02002295,530
E02002296,730
E02002297,900
E02002298,660
E02002299,460
E02002300,830
E02002301,570
E02002302,860
E02002303,740
E02002304,630
E02002305,520
E02002306,860
E02002307,630
E02002308,740
E02002309,550
E02002310,590
E02002311,670
E02002312,540
E02002313,500
E02002314,720
E02002315,620
E02002316,800
E02002317,590
E02002318,570
E02002319,720
E02002320,710
E02002321,840
E02002322,790
E02002323,880
E02002324,780
E02002325,800
E02002326,1050
E02002327,890
E02002328,930
E02002329,940
E02002330,1020
E02002331,630
E02002332,710
E02002333,780
E02002334,930
E02002335,1140
E02002336,1120
E02002337,1080
E02002338,850
E02002339,620
E02002340,710
E02002341,1120
E02002342,810
E02002343,940
E02002344,960
E02002345,1160
E02002346,670
E02002347,590
E02002348,690
E02002349,1100
E02002350,1010
E02002351,1010
E02002352,930
E02002353,1190
E02002354,780
E02002356,1040
E02002357,820
E02002358,670
E02002359,950
E02002360,890
E02002361,920
E02002362,520
E02002363,1130
E02002364,450
E02002366,800
E02002367,520
E02002368,930
E02002369,520
E02002370,520
E02002371,550
E02002373,710
E02002374,670
E02002375,520
E02002376,490
E02002377,470
E02002379,500
E02002380,620
E02002381,730
E02002382,460
E02002383,530
E02002384,420
E02002385,560
E02002386,690
E02002387,540
