URN,EstablishmentName,SchoolCapacity,Postcode,Easting,Northing,,,,,,,,,,,,,,,
136633,Castleford Academy,1224,WF10 4JQ,443440,425591,,,,,,,,,,,,,,,
136613,Airedale Academy,1250,WF10 3JU,445485,425204,,,,,,,,,,,,,,,
137036,Lightcliffe Academy,1392,HX3 8TL,414004,425157,,,,,,,,,,,,,,,
136604,Brighouse High School,1430,HD6 2NY,413615,424116,,,,,,,,,,,,,,,
139182,The Crossley Heath School,1042,HX3 0HG,408141,423921,,,,,,,,,,,,,,,
136283,Heckmondwike Grammar School,1500,WF16 0AH,421932,423558,,,,,,,,,,,,,,,
138006,De Lacy Academy,1210,WF11 0BZ,450118,423377,,,,,,,,,,,,,,,
141307,Ryburn Valley High School,1500,HX6 1DF,404604,422966,,,,,,,,,,,,,,,
138951,St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy,1800,WF7 6BD,442289,422383,,,,,,,,,,,,,,,
147565,"All Saints’ Roman Catholic High School, a Voluntary Academy",580,BB4 6SJ,379843,422371,,,,,,,,,,,,,,,
137444,Rastrick High School,1750,HD6 3XB,413847,422254,,,,,,,,,,,,,,,
139290,Academy@Worden,590,PR25 1QX,353036,422132,,,,,,,,,,,,,,,
141470,St John Fisher Catholic Voluntary Academy,1069,WF13 4LL,423603,422026,,,,,,,,,,,,,,,
140866,The Snaith School,954,DN14 9LB,463728,421934,,,,,,,,,,,,,,,
138835,Bacup and Rawtenstall Grammar School,1260,BB4 7BJ,383761,421916,,,,,,,,,,,,,,,
136394,Outwood Academy City Fields,750,WF1 4SF,434698,421459,,,,,,,,,,,,,,,
137768,Tarleton Academy,750,PR4 6AQ,345215,421306,,,,,,,,,,,,,,,
139500,The King's School,1050,WF8 4JF,445148,421188,,,,,,,,,,,,,,,
136674,The Mirfield Free Grammar,1505,WF14 9EZ,419744,421182,,,,,,,,,,,,,,,
137521,The Brooksbank School,1703,HX5 0QG,410072,420543,,,,,,,,,,,,,,,
139501,Carleton High School,1050,WF8 3NW,446223,420268,,,,,,,,,,,,,,,
136462,Ossett Academy and Sixth Form College,2000,WF5 0DG,428018,419303,,,,,,,,,,,,,,,
138831,Winterton Community Academy,720,DN15 9QD,492758,418984,,,,,,,,,,,,,,,
137296,Bishop Rawstorne Church of England Academy,930,PR26 9HH,349382,418637,,,,,,,,,,,,,,,
136893,St Michael's Church of England High School,1129,PR7 1RS,358055,418442,,,,,,,,,,,,,,,
138707,Horbury Academy,1059,WF4 5HE,430008,418404,,,,,,,,,,,,,,,
138950,"St Thomas à Becket Catholic Secondary School, A Voluntary Academy",750,WF2 6EQ,434270,418402,,,,,,,,,,,,,,,
137001,Crofton Academy,1020,WF4 1NF,437805,417922,,,,,,,,,,,,,,,
138647,Parklands High School,1116,PR7 1LL,357422,417911,,,,,,,,,,,,,,,
137869,Salendine Nook High School Academy,1496,HD3 4GN,410891,417504,,,,,,,,,,,,,,,
138544,Albany Academy,756,PR7 3AY,359158,416463,,,,,,,,,,,,,,,
143794,Southlands High School,1050,PR7 2NJ,357160,416307,,,,,,,,,,,,,,,
140055,Wardle Academy,1200,OL12 9RD,391653,416171,,,,,,,,,,,,,,,
137500,Moor End Academy,900,HD4 5JA,412500,414846,,,,,,,,,,,,,,,
138706,King James's School,906,HD4 6SG,417129,414790,,,,,,,,,,,,,,,
138116,Campsmount Academy,900,DN6 9AS,453871,414591,,,,,,,,,,,,,,,
137604,Greenbank High School,1030,PR8 2LT,332124,414485,,,,,,,,,,,,,,,
137297,Birkdale High School,940,PR8 3DT,332347,413317,,,,,,,,,,,,,,,
143791,Kirkburton Middle School,501,HD8 0TJ,420021,413062,,,,,,,,,,,,,,,
146529,Tottington High School,950,BL8 3LY,377782,412890,,,,,,,,,,,,,,,
